scenario,year,value,metric,stratum,cohort,stat
S_sq,2080,8.37074645680738,asr_cancer_incidence,all,whole,median
S_sq,2081,8.829850191892783,asr_cancer_incidence,all,whole,median
S_sq,2082,7.7607468020932835,asr_cancer_incidence,all,whole,median
S_sq,2083,7.902622818982156,asr_cancer_incidence,all,whole,median
S_sq,2084,8.44143181779914,asr_cancer_incidence,all,whole,median
S_sq,2085,7.893153583075594,asr_cancer_incidence,all,whole,median
S_sq,2086,8.052673829354182,asr_cancer_incidence,all,whole,median
S_sq,2087,8.01876928887198,asr_cancer_incidence,all,whole,median
S_sq,2088,8.080779181920503,asr_cancer_incidence,all,whole,median
S_sq,2089,8.020679920280351,asr_cancer_incidence,all,whole,median
S_sq,2090,8.067685114840224,asr_cancer_incidence,all,whole,median
S_sq,2091,7.988955617570672,asr_cancer_incidence,all,whole,median
S_sq,2092,7.833737377740436,asr_cancer_incidence,all,whole,median
S_sq,2093,7.906092380467117,asr_cancer_incidence,all,whole,median
S_sq,2094,8.36572889202343,asr_cancer_incidence,all,whole,median
S_sq,2095,8.192687979725042,asr_cancer_incidence,all,whole,median
S_sq,2096,8.11814826136078,asr_cancer_incidence,all,whole,median
S_sq,2097,7.554582732991912,asr_cancer_incidence,all,whole,median
S_sq,2098,8.336455606021934,asr_cancer_incidence,all,whole,median
S_sq,2099,8.40718587297209,asr_cancer_incidence,all,whole,median
S_sq,2100,8.738575516950249,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2020,19.19832240318148,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2021,19.92052180399774,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2022,20.10024758616121,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2023,19.74745327921404,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2024,20.02373976145652,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2025,19.345443954483724,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2026,21.08196620854639,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2027,19.11308269442307,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2028,19.22659391380372,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2029,18.821649548166004,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2030,18.123258871418667,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2031,18.175414856152845,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2032,18.094605603327945,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2033,17.797023738852598,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2034,17.413459213878234,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2035,17.75389331364583,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2036,16.681866009636636,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2037,16.473460313000707,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2038,16.379483826063307,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2039,15.596508949311122,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2040,15.598253998201638,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2041,15.5250921333474,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2042,15.068208305607651,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2043,14.337815992643158,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2044,14.45628933309047,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2045,14.34802052006192,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2046,13.489141586010804,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2047,13.241111000388248,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2048,13.110116336629048,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2049,12.211337519602187,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2050,12.685968790696538,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2051,11.626558487436752,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2052,10.892868265424047,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2053,11.122254231799031,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2054,10.656751488531867,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2055,10.732891623540164,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2056,10.21486547354217,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2057,10.095259608954622,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2058,9.588644071065191,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2059,8.749041592798884,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2060,8.439208033129223,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2061,8.197530928373787,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2062,8.112571228421753,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2063,7.907733882207958,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2064,7.99297695309648,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2065,7.741194401866158,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2066,7.411676200204863,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2067,7.5499999167955965,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2068,7.082915035694826,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2069,7.292316590768046,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2070,6.910849986803945,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2071,6.707419195768628,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2072,6.122605049586824,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2073,6.416497884088863,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2074,6.090710365960355,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2075,5.98370587492158,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2076,5.898154327052808,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2077,5.762327828008378,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2078,5.529969987897468,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2079,5.668517334965219,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2080,5.228626322804683,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2081,5.287684977565505,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2082,5.37134345276709,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2083,5.0286351742071425,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2084,5.203057445620403,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2085,5.059160674596019,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2086,4.906302573880015,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2087,5.0350011463115285,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2088,5.263457327035538,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2089,5.470368892214858,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2090,5.2764207008375035,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2091,5.152409201373615,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2092,5.356417156818439,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2093,5.154552581491583,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2094,5.263565581085155,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2095,4.998695591383485,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2096,5.443796557994461,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2097,5.189489502878891,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2098,5.291003563473307,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2099,5.486499377064987,asr_cancer_incidence,all,whole,median
S_sq_screenup_or1,2100,5.228386705309868,asr_cancer_incidence,all,whole,median
S_infant_eff50,2020_2125,310041.2537774588,new_cancers,all,vt_group,mean
S_infant_full,2020_2125,256376.12010654394,new_cancers,all,vt_group,mean
S_sq,2020_2125,509276.1485438537,new_cancers,all,vt_group,mean
S_sq_screenup_or1,2020_2125,326936.10867071676,new_cancers,all,vt_group,mean
